No.,X,Y,Z,dZ
START,"0,00","0,00","271,46","0,00"
1,"7,31","0,00","271,67","0,21"
2,"7,19","7,55","271,66","0,20"
3,"18,85","-3,59","271,82","0,18"
4,"33,77","6,41","271,50","-0,01"
5,"13,22","-13,61","272,28","0,03"
6,"21,01","13,21","271,59","-0,29"
7,"20,96","3,36","271,63","0,04"
8,"20,40","-19,41","272,25","0,21"
9,"14,77","6,89","271,88","0,43"
10,"22,46","-10,36","272,03","0,21"
11,"31,56","-18,81","272,04","0,01"
12,"29,92","11,44","271,51","-0,12"
13,"32,79","-6,79","271,64","0,14"
14,"2,04","-12,02","271,96","-0,32"
15,"7,63","13,24","271,45","-0,21"
